1;237;29,975975
1;33;12,863267
1;208;11,445056
1;27;12,799386
1;268;12,668832
1;110;9,917658
1;544;6,590288
1;422;10,379172
1;445;10,719873
1;233;15,588565
1;412;11,438830
1;453;11,683173
1;128;14,419936
1;274;12,255141
1;249;12,304433
1;124;17,478957
1;49;16,080573
1;87;12,030554
1;280;9,942614
1;152;13,727272
1;126;13,810887
1;125;11,471536
1;310;17,566299
1;89;8,944556
1;103;14,232164
1;221;16,557521
1;239;19,637846
1;278;10,000219
1;45;9,679783
1;253;16,436332
1;326;10,343383
1;568;19,084578
1;275;14,183927
1;6;13,565881
1;187;8,155851
1;3;7,481340
1;207;1,523933
1;272;16,367576
1;9;13,648379
1;116;18,553499
1;92;9,586979
1;348;9,683741
1;18;8,600974
1;206;17,086490
1;173;13,311174
1;356;12,442568
1;409;8,801160
1;197;7,228295
1;510;26,933442
1;62;9,778663
1;199;11,804876
1;411;14,680129
1;427;10,938837
1;155;11,830930
1;101;13,801084
1;417;9,199263
1;342;14,361356
1;445;12,993976
1;230;18,587048
1;187;7,060070
1;132;11,981651
1;374;11,075327
1;287;12,346943
1;220;14,339591
1;172;6,745177
1;416;5,572371
1;159;7,590473
1;230;3,443834
1;94;10,194277
1;383;7,282126
1;178;10,587655
1;199;11,206933
1;364;13,150351
1;61;7,983954
1;281;8,623792
1;250;14,857465
1;18;10,570808
1;496;12,042571
1;274;7,745057
1;163;14,279425
1;514;15,330427
1;128;11,640910
1;472;15,130437
1;359;7,818183
1;106;17,532216
1;75;14,082725
1;358;8,092358
1;44;12,667383
1;261;5,747921
1;232;8,189411
1;341;6,434036
1;139;19,866857
1;160;10,996282
1;321;13,641135
1;22;15,865779
1;179;15,633217
1;90;9,385096
1;367;11,171265
1;177;16,433710
1;258;8,523048
