1;11;3,396473;;
1;318;8,195017;;
0;1000;0,321572;;
1;2;0,000000;;
1;424;0,460900;;
1;215;8,831883;;
1;66;0,638158;;
1;608;0,000000;;
1;571;5,658731;;
1;407;1,569385;;
1;130;0,753369;;
1;279;0,000000;;
1;63;0,224712;;
1;715;0,000231;;
1;202;0,015954;;
1;190;9,294145;;
1;515;0,003095;;
1;326;3,100500;;
1;637;11,011988;;
1;484;0,000000;;
1;539;0,029700;;
1;65;15,044500;;
1;758;0,000000;;
1;787;3,702914;;
1;326;14,792929;;
1;242;18,297107;;
1;893;17,002407;;
0;1000;6,105690;;
1;36;0,000000;;
1;313;18,963431;;
1;53;3,694712;;
1;549;0,416711;;
1;160;0,608394;;
0;1000;12,471010;;
1;52;9,682462;;
1;679;7,925798;;
0;1000;5,494857;;
1;508;0,418856;;
0;1000;10,089168;;
1;379;0,000000;;
1;195;21,282271;;
1;64;15,814629;;
1;20;15,789933;;
1;314;4,625637;;
1;279;2,912865;;
1;433;6,788490;;
1;270;13,336325;;
1;373;2,306507;;
1;435;16,314631;;
0;1000;9,846864;;
1;694;5,618893;;
0;1000;14,186035;;
1;988;8,110809;;
1;76;2,216750;;
1;228;13,873481;;
1;296;13,967293;;
1;4;0,000000;;
1;195;5,011700;;
1;566;8,238861;;
1;636;13,949127;;
0;1000;11,170678;;
0;1000;4,424656;;
1;35;7,641423;;
1;299;12,988710;;
1;163;0,000000;;
1;256;10,355724;;
1;507;7,618058;;
1;55;0,000000;;
1;163;0,060176;;
1;189;7,615301;;
1;139;1,951870;;
1;4;0,000000;;
1;49;0,000000;;
1;8;12,624503;;
1;447;1,075344;;
1;10;0,008593;;
1;289;4,588395;;
1;241;0,000619;;
1;147;5,576535;;
1;939;11,938320;;
0;1000;7,998961;;
1;6;0,000000;;
0;1000;13,325161;;
1;325;0,120458;;
1;482;0,865258;;
1;922;10,003581;;
1;2;0,000000;;
1;469;0,555008;;
1;105;0,000000;;
1;649;5,790542;;
1;42;1,192551;;
0;1000;10,989088;;
1;57;0,083345;;
0;1000;7,352812;;
1;28;0,042085;;
1;6;8,321426;;
1;25;10,925555;;
0;1000;13,527835;;
1;11;4,071640;;
1;142;5,620761;;
